Market,Medium,Month, Rate Card , Discount , Added Value 
"Ghana 
(GHS)",OOH,Aug, 509 372 , 184 200 , -   
"Kenya
 (KES)",Digital,Aug, 5 085 388 , -   , -   
"Kenya
 (KES)",META,Aug, 1 340 095 , -   ,
"Kenya
 (KES)",LinkedIn,Aug, 521 170 , -   ,
"Kenya
 (KES)",X,Aug, 531 997 , -   ,
"Kenya
 (KES)",Google Display Network,Aug, 1 403 266 , -   ,
"Kenya
 (KES)",Programmatic Video,Aug, 606 860 , -   ,
"Kenya
 (KES)",Influencer,Aug, 682 000 ,,
"Kenya
 (KES)",Radio,Aug, 700 000 , 208 000 , 50 000 
"Kenya
 (KES)",Print,Aug, 2 898 000 , 263 610 ,
"Kenya
 (KES)",OOH,Aug, 130 000 , 20 000 , 55 000 
"Mauritius 
(MUR)",Digital,Aug, 448 570 , 9 573 , -   
"Mauritius 
(MUR)",Radio,Aug, 272 527 , 55 198 , -   
"Mauritius 
(MUR)",Print,Aug, 29 531 , 5 906 , -   
"Mauritius 
(MUR)",OOH,Aug, 77 562 , 15 512 , -   
"Mauritius 
(MUR)",DOOH,Aug, 886 968 , 120 394 , -   
"Mozambique 
(MZN)",Digital,Aug, 788 828 , -   , -   
"Mozambique 
(MZN)",Print,Aug, 605 598 , -   , -   
"Mozambique 
(MZN)",OOH,Aug, 1 395 022 , -   , -   
"Mozambique 
(MZN)",DOOH,Aug, 551 386 , -   , -   
"Seychells
(SCR)",Television,Aug, 11 000 , -   , -   
"Seychells
(SCR)",Digital,Aug, 36 020 , 6 844 , -   
"Seychells
(SCR)",Radio,Aug, 40 628 , 9 344 , 11 050 
"Seychells
(SCR)",Print,Aug, 8 740 , 1 748 , -   
"Seychells
(SCR)",OOH,Aug, 79 627 , 19 907 , -   
"Seychells
(SCR)",DOOH,Aug, 58 474 , 19 230 , -   
"Uganda 
(UGX)",Television,Aug, 90 000 000 , 34 000 000 , 97 703 739 
"Uganda 
(UGX)",Radio,Aug, 128 000 000 , 83 500 000 , 133 403 926 
"Uganda 
(UGX)",DOOH,Aug, 25 000 000 , 11 000 000 , -   
"Zambia 
(ZMW)",Television,Aug, 721 000 , 106 000 , 120 000 
"Zambia 
(ZMW)",Digital,Aug, 230 000 , 64 400 , 43 000 
